partition 1 (mean = 0.077100)       partition 2 (mean = 0.087917)
4.844303933679141444e-02             6.396396623159496253e-02
1.288463017982950098e-01             8.673182407974630581e-02
5.964664435323409342e-02             1.158029981011385046e-01
5.268683190300875452e-02             6.064884311835397335e-02
1.354758148105114357e-01             1.008078354438546181e-01
5.352352599714668875e-04             7.743856327803329536e-04
5.620170767120368643e-02             7.668299615886416121e-02
6.333093295178440774e-02             8.755146521885466548e-02
6.526321469249639351e-02             6.522127312599108884e-02
5.471435479768763793e-02             6.563129954426012713e-02
3.365829280180290123e-02             1.328375464986596699e-01
7.909616579641831624e-02             8.450510989720906585e-02
8.458541847616540821e-02             3.808506955750132900e-02
8.114469728554239703e-02             7.449732878700221494e-02
1.142568707277615003e-01             6.435187194374610009e-02
5.683408298381617541e-02             5.686564642379094564e-02
5.371029155724792170e-02             9.311691503272448434e-02
9.648635173538105958e-02             6.713838907372203513e-02
1.011389174360642768e-01             7.968881388663390242e-02
6.018085060020231247e-02             7.607671416492141347e-02
5.552509504027993564e-02             1.004217186566963710e-01
7.116431954305958707e-02             7.791721819985732156e-02
6.745703353619574016e-02             9.081830322847429804e-02
3.274514697873211894e-02             2.244663656340934246e-02
7.939621408831572247e-02             5.089622623403567553e-02
1.500644903624945570e-01             7.785010791198014590e-02
1.059850765404073136e-01             9.172277981668115754e-02
1.043040253193924793e-02             2.105212855609140798e-03
6.593221571860227725e-02             9.906833866421375923e-02
7.533205881786383951e-02             7.253934904875247724e-02
4.602870641886019909e-02             6.431015863814340539e-02
6.157434681705884622e-02             6.618632581358982470e-02
6.010218289478393844e-02             6.437355382766350720e-02
6.633975711286377308e-02             8.790058512219459108e-02
7.975353372282723008e-02             8.892741328555311964e-02
6.767658783524659050e-02             8.070414280820997766e-02
8.249351709004718036e-02             5.626800964602832189e-02
5.511063952790022646e-02             5.985281767833321165e-02
7.092379152616613835e-02             8.303073628156835972e-02
1.088321721043615936e-01             5.662966743752487209e-02
1.445092529905543099e-01             6.921301705723294229e-02
9.191440524438841686e-03             2.133266548592185983e-03
1.158336474369806440e-01             6.372992230280923043e-02
6.011969491182254932e-02             6.005358768682367981e-02
7.285253828013726896e-02             5.871700600177214013e-02
5.266321456671267665e-02             6.752679595681920777e-02
7.225788948436900894e-02             7.046578235939385260e-02
5.434152219471955619e-02             3.647264185053042396e-02
1.133640060439149999e-01             5.928111141003453155e-02
5.009051624036768569e-02             9.812840081135025538e-02
6.203569609147069341e-02             7.007840858078576152e-02
6.885254644561818183e-02             8.300579142507638619e-02
4.715068094821270317e-02             6.763740765884801442e-02
6.098127357281669936e-02             7.610405321379842825e-02
3.983803600844378762e-02             7.315671623422621839e-02
5.699406870560579791e-02             6.415536039454659833e-02
5.205054780515472324e-02             8.048141124222130127e-02
1.051526295563963570e-01             8.106602594182810151e-02
9.590438943658489979e-02             6.497747607085567478e-02
5.863996468715749338e-02             9.162429477590669502e-02
6.319779576477294047e-02             5.857558767498851487e-02
6.172282732163992397e-02             6.394793231954344626e-02
9.507544678204543631e-02             8.835195543774736204e-02
5.013813680836201603e-02             6.565476691272546794e-02
7.263163475637178512e-02             6.957414425182205375e-02
1.230905558005983419e-01             8.552539329686087433e-02
1.059222925342947763e-01             9.409663324836387011e-02
8.656810073438193920e-02             7.294987249507628446e-02
5.735149679266483835e-02             5.562054083461576148e-02
5.721874072923331667e-02             8.025731393806299907e-02
9.995491451639855474e-02             8.207148253854822106e-02
3.424268544983300605e-02             5.031146570662441836e-02
8.656997224943166480e-02             1.209500662648010372e-01
7.426532260805575325e-02             1.147296347782687936e-01
2.648964957832739692e-02             2.579843688427209403e-02
8.980424660007624293e-02             8.304344683410944117e-02
4.899509379072988086e-02             7.714818255003320913e-02
9.558781143308199557e-02             7.883016893020888816e-02
5.441049583054433092e-02             7.774040247185798336e-02
5.150433420571730314e-02             9.095032490847226869e-02
6.352024074272548393e-02             5.909567724698271129e-02
4.432600982176591875e-02             8.308238186845300077e-02
7.167769344969530942e-02             5.623312925880123020e-02
8.559118187791334154e-02             1.003035372751885507e-01
8.252051523374218100e-02             7.534630259522563656e-02
7.464138788679955394e-02             6.094354790354861856e-02
5.205600851341032898e-02             8.566204633679561087e-02
7.382490994007015472e-02             9.394991150772344368e-02
7.240985050482791341e-02             7.036418733119789715e-02
6.765077702550187366e-02             8.240294080850248115e-02
4.963182230693019559e-02             6.665599490542326033e-02
7.354133797953560370e-02             1.029569424711456044e-01
6.688503069606552276e-02             1.061981651270200305e-01
5.208454720205375060e-02             1.182986239513392906e-01
5.303207308245038581e-02             8.476657251647023994e-02
9.060705771013304044e-02             8.406603417942498657e-02
5.289912996446414356e-02             7.518138549983366392e-02
9.788437474545570727e-02             9.114215916090152858e-02
7.617101076753407529e-02             9.411132296387691998e-02
9.291020720255890875e-02             8.680958522064634308e-02
3.643416728725681203e-02             7.091243822307652378e-02
8.706692520007472402e-02             8.259862800515878345e-02
9.426993067945364790e-02             8.583560520376926073e-02
6.539435077441368982e-02             6.542667487382981817e-02
7.181818611653423279e-02             1.748109594458228111e-01
7.149177825548021226e-02             5.285461463443520691e-02
8.352713609417723728e-02             8.576131442662633664e-02
8.538093837705505729e-02             5.957276172028984351e-02
5.973262152601019337e-02             5.740003900157783501e-02
9.462866411985319803e-02             9.581390666026229352e-02
7.034143842901312282e-02             8.867726912742879275e-02
7.232023568073915609e-02             6.120297095701126427e-02
5.063435895685305249e-02             1.852437804408435806e-01
7.739815897783469678e-02             8.764798853896563213e-02
9.613799719714993808e-02             7.231649029541713236e-02
5.907266011611939094e-02             6.868796823665324069e-02
1.299635225378808490e-01             8.704810302384152765e-02
7.421832921148090179e-02             9.126208758397309773e-02
5.679088897253765922e-02             3.928577428343893452e-02
8.196588171664211109e-02             6.987740220185313655e-02
8.834412297438311301e-02             6.662315170655962182e-02
5.077619035407214543e-02             5.593921212541347332e-02
6.272323740647010870e-02             5.930882664125480819e-02
5.045057476855605016e-02             1.072825304657679807e-01
1.210200942931499990e-01             5.793306964312976842e-02
6.206597939051295559e-02             7.683032739458724170e-02
5.726171399359364367e-02             6.141753268386698078e-02
6.480344990986205977e-02             9.422934561573305390e-02
1.127066837647994341e-01             8.242353891984478820e-02
9.213380584969399489e-02             7.436381881695973417e-02
9.282289015637884555e-02             6.826050104255289297e-02
5.939412974630563224e-02             6.939848383014554645e-02
9.213783713292020283e-02             1.171420499776227031e-01
6.646531643524117294e-02             9.054772362903243388e-02
5.278008607311104189e-02             5.398674168152572256e-02
7.913245882101463402e-02             7.021763932548207021e-02
7.744329663931258378e-02             8.466495554566295934e-02
7.817790281522245255e-02             7.987690026530827603e-02
7.515834295328202574e-02             7.721731066815853972e-02
1.383120623206661459e-01             7.366234399756550755e-02
6.114656892291875367e-02             7.161054102567186719e-02
4.885146786370973132e-02             7.103397308278652789e-02
2.992276065438737032e-02             1.409258253516611770e-01
6.548389730490804250e-02             5.545098859107791545e-02
1.053467397245266141e-02             1.085670680887376553e-02
6.176918357270845539e-02             7.920382616953194899e-02
7.595311617337695276e-02             8.554775940781712829e-02
7.850282425266479069e-02             7.904699419947246175e-02
4.597486084109573060e-03             9.790189543212184792e-03
4.901152851875201916e-02             7.145397799034744479e-02
7.816451532678067582e-02             9.068696896483278980e-02
9.164085724974725677e-02             8.011420681768530172e-02
7.232898258504252831e-02             8.146580937652067589e-02
5.769190834607672291e-02             6.727694567431680150e-02
1.013712405184662331e-02             4.006437604764064193e-03
1.065224848396000290e-01             8.797214497927405286e-02
8.563027819158527953e-02             7.718074848293429713e-02
4.847076467610084843e-02             7.954469223152393909e-02
6.673087897553027503e-02             7.423085278249894059e-02
6.998653278138448897e-02             6.788852588342395022e-02
8.162542773716037481e-02             1.089216455680558637e-01
4.941169772018771944e-02             7.742340961561831880e-02
7.256071549204057280e-02             5.399674066442175513e-02
4.255618737409837954e-02             8.396590273678206096e-02
8.698297233981039378e-02             1.054866853530024157e-01
3.529803827783639658e-02             5.933410266752650597e-02
3.718973413917046889e-02             1.325285623299320981e-01
5.163146615771695841e-02             6.679323293896180513e-02
5.056446087638844650e-02             6.040410614313599519e-02
7.316635828010345510e-02             9.625572259851379597e-02
8.730487841492916290e-02             6.913770100024327347e-02
1.772865383110633353e-01             2.295427302586653950e-01
1.795772926267577840e-01             4.428824369646848225e-01
1.919730534993610849e-01             1.818903373857041483e-01
1.655643776125249600e-01             4.138267813985946342e-01
4.809659943293568413e-02             6.605257395359423467e-02
1.848451213698740492e-01             1.222799615042131360e-01
1.244691428839305031e-01             1.352011843678231906e-01
1.777803287919827446e-01             1.178218371739906539e-01
1.201344585709731572e-01             1.785786590695533360e-01
1.198352031351022223e-01             5.934381294284944014e-02
9.813800861785294816e-02             8.113816699309266134e-02
1.309873282662027232e-02             1.392045990508229171e-02
6.265861636056295481e-02             1.233703560821077377e-01
5.469346898950352975e-02             9.035284137791070591e-02
6.035328847561443472e-02             8.402404937443846977e-02
5.973398026674551359e-02             1.207626854524453258e-01
6.415926324589961427e-02             1.012276077508364180e-01
4.899679762352718293e-02             2.440028826064072898e-01
1.200314222351825527e-01             1.110777138261956065e-01
5.719364343722548732e-02             1.086837320958132791e-01
1.008740302755875978e-01             7.030877970463324245e-02
7.174400609894719671e-02             7.158323921565688808e-02
4.088395309629715840e-02             7.467837108759015075e-02
4.589558891436155974e-02             7.008857750746778914e-02
4.929628995770896777e-02             5.681903100146658281e-02
1.121835582576579393e-01             8.654326663209328807e-02
2.502174328790543641e-03             1.381306417508257681e-03
5.403568990630046309e-02             6.361464850683402894e-02
8.464750288142663948e-02             9.785503437778378388e-02
1.257538073279591828e-01             4.118921395052894119e-01
2.746686258940817318e-02             4.492667470303931404e-02
1.489374527278583826e-01             1.160936456222247670e-01
4.243348391706462663e-02             5.434873122178832117e-02
4.491636433207120416e-02             1.198717216252168649e-01
4.443279467798736532e-02             3.714177716504946797e-02
9.790771665696554327e-02             6.464136896342713434e-02
3.922027785442811637e-02             2.679947505078000836e-02
1.044711143567514378e-01             1.320640615412793650e-01
8.986780961485350827e-02             6.128243102828578176e-02
1.066387729683890007e-01             1.888683275640100079e-01
5.207652288385920814e-02             5.739234198172865620e-02
1.021279040594288007e-01             5.479062419826246505e-02
1.387332080438517801e-02             1.680592945078496908e-02
6.985002794758361777e-02             5.694501321650020237e-02
7.853658923553274995e-02             9.457388384485589106e-02
2.825246212081489097e-03             2.652356651808145029e-03
1.254237224742779100e-01             8.679130273562124520e-02
6.559042969435155412e-02             6.687716600108543907e-02
2.501312481456804404e-01             1.194151940148887175e-01
3.670933629251398045e-02             7.589874300048100597e-01
8.882423083740162342e-04             1.573038414837574575e-03
7.566203831606262142e-02             7.665653270908499850e-02
1.022007099452510170e-01             1.002432910743437794e-01
8.832512248144921974e-02             5.347652963923578417e-02
5.185365001744834945e-02             7.402786906392896937e-02
4.932007209370128931e-02             5.562012045437830787e-02
1.106092732308935622e-01             1.424982962301152845e-01
3.063045315016749148e-01             3.049282745147651602e-02
2.232664907542075347e-02             2.706461322269503034e-02
4.908222668880920375e-02             9.084645609720132242e-02
8.630078981987050757e-02             2.770342620646648046e-01
1.031089319101463897e-01             2.324792836243103067e-01
1.776739856297459771e-02             2.543621859957189910e-02
8.593955666760470791e-02             6.638078309746345274e-02
7.734648728819999708e-02             6.088134999691920124e-02
6.088015995213490184e-02             1.132935822807694948e-01
1.087896875269279695e-01             5.169107312375285229e-02
2.980023856634939627e-01             2.370208852467391991e-01
3.910721838620601076e-02             6.515448618239076672e-02
2.721036553568927097e-02             2.341326311674522820e-02
6.723905669914520544e-02             1.112301609010880599e-01
8.408372590264584501e-02             6.866380621160741993e-02
2.214197891361790668e-02             3.034853927748312405e-02
1.026693815934282550e-01             4.151858499266790070e-01
7.904312878334211756e-02             1.665448033433597763e-01
3.573824810125533769e-02             3.573286428123626512e-01
2.110471637101563741e-02             2.957311856211289336e-02
9.757867724944966834e-03             1.352027811979833738e-01
7.742815104529821024e-02             1.650266896805344663e-01
6.980457443383411564e-02             1.077216425233348401e-01
1.680411255009021942e-02             1.780410376802253614e-02
8.281401622961123699e-02             2.390899022685512021e-01
1.084937068247592840e-01             1.045908626859443497e-01
4.706640570010929558e-02             3.921645276525297097e-02
5.016668564269745334e-02             1.287166382045970003e-01
4.048635265422433072e-02             8.320878872588094444e-02
4.346431174972030520e-02             6.742337697067243840e-02
4.133503169442299258e-02             6.266925032322179234e-02
4.850149067229898164e-02             1.346387904824674075e-01
8.387465780856484532e-02             8.702551850788545207e-02
1.134190226385568268e-01             8.457572384989839320e-02
1.013030316701758471e-01             6.666803565066682646e-02
9.696564394754625393e-02             1.424896280820531491e-01
1.157460067682181681e-01             4.587179793597440797e-02
3.415013370071671717e-01             2.502812345564598417e-01
3.461321777544949518e-01             2.304507019008213975e-01
3.245066182498869134e-01             2.475428048074438114e-01
3.389829373796874323e-01             2.490286077863947956e-01
7.420628629138294186e-02             2.158493148207265289e-01
7.367751011337365930e-02             2.210522209179151265e-01
5.124914343610671719e-02             1.102906458203012779e-01
1.847469423625057450e-01             4.717694020033789681e-01
1.782770662198848999e-01             5.623951386948445874e-01
1.670164904229158032e-01             6.505686065274348673e-01
1.695615855296412067e-01             6.416650356649383768e-01
7.925171912058968926e-02             7.035715240995918385e-02
1.636313858090315543e-01             6.929049982243892236e-01
1.743736242948845938e-01             5.768405144179492572e-01
1.494479561286433666e-01             3.138025910177352218e-01
4.415832308810729162e-02             5.917401168291210045e-02
1.019101100460139686e-01             7.704477547454641195e-02
4.803129842981528758e-02             5.129190625200077264e-02
4.155342517441339839e-02             4.551521468776870832e-02
4.472229157473044808e-02             5.729981958618073079e-02
3.659492600133359974e-02             4.545845939049990986e-02
5.925704573854850138e-02             6.321764224472459226e-02
6.144663860086085200e-02             4.180727648035184596e-02
8.087142149837242555e-02             7.252464479761296101e-02
6.731784697857851572e-03             2.634218691700579082e-02
2.485651735175289923e-02             8.586481504857287894e-02
9.145846895009418498e-02             8.954953164930605503e-02
6.033852197702712500e-02             8.270543476448807829e-02
4.958875035567922307e-02             4.269399765124789331e-02
7.333898282680606506e-02             1.527766309358085106e-01
1.124446480462532039e-02             2.990572322126079999e-02
5.274788733739228103e-02             7.679746249725993845e-02
6.546283603370217641e-02             1.700298452422026318e-01
6.492932434834337851e-02             8.347469839184558371e-02
9.097257221070520483e-02             1.060709670280136074e-01
3.683624152500256793e-02             3.494430559499370897e-02
1.063504077948264695e-02             6.873473630015446666e-03
6.613944549552103203e-02             1.047706283946713696e-01
8.964408484302595348e-02             7.259174639163971932e-02
1.085252085443586395e-01             5.604318351301578183e-01
3.893103491709773434e-02             9.024378140875104204e-02
1.301276149233486501e-02             2.721040239855916990e-02
