partition 1 (mean = 0.134930)       partition 2 (mean = 0.090506)
2.344160374139976910e-01             9.022288582277886160e-02
9.334603758297349563e-02             8.165618977038437143e-02
4.090219795221974181e-02             4.127054360183398524e-02
7.098365848796020505e-02             7.276787826672716231e-02
1.225636194800555079e-01             7.808798725844967592e-02
1.840309869589918379e-01             1.023853439777990260e-01
1.142070027574785956e-01             5.461854886838302808e-02
1.386921989448875736e-01             3.556065666888408999e-02
8.787415849255331146e-02             7.901986387647456922e-02
1.533759584986272850e-01             9.621242562432667789e-02
1.106947555878558809e-01             6.588629493382615332e-02
1.413864709863883740e-01             8.692798248166014319e-02
1.938287748804015664e-01             8.622614489405754090e-02
1.411048048531450549e-01             8.092274691322728919e-02
1.456078081502214794e-01             8.335728129742897563e-02
1.594711417637137141e-01             9.541603123150886601e-02
1.177243161520095116e-01             7.685816691716265692e-02
1.170004527149562518e-01             9.406849785409641951e-02
1.208498973918684244e-01             8.460804841312520586e-02
2.057921853355489383e-01             9.908102958727466048e-02
1.585288176922796943e-01             9.060874304477868624e-02
1.179624306060562677e-01             7.063937958882406110e-02
1.675567210976211530e-01             7.473627704195091870e-02
1.183172098728907523e-01             7.701702580687702637e-02
8.215286908597885240e-02             6.255204466085181880e-02
1.187487449346540658e-01             7.268260139979101919e-02
1.293840881615963556e-01             5.533622934348616379e-02
7.088565311868139096e-02             8.378854357263731956e-02
4.295982419555963855e-02             4.356573564381373970e-02
9.311628230543474161e-02             6.907282532359952654e-02
1.598261873913406905e-01             1.257313900630849801e-01
9.127047756668101031e-02             7.494529680477700351e-02
7.731918964140899186e-02             9.412709876212782545e-02
1.060131072933804541e-01             6.485709739561902609e-02
1.543994437812773179e-01             1.153002338279461164e-01
1.292876318759201837e-01             5.261971141478242325e-02
1.365624560507314178e-01             8.268047088070323847e-02
9.653148287879645406e-02             8.826627940296268016e-02
1.659819912398797503e-01             1.039196954216190794e-01
2.193574495671861968e-01             1.194089742902394308e-01
2.641048548692775944e-01             5.090891562138474824e-02
2.099319618827521772e-01             1.387716155138492835e-01
1.608318703780576842e-01             7.664717007721831565e-02
1.251655939301821174e-01             9.030109574200001488e-02
1.674648998893148444e-01             1.078137228547487725e-01
1.946671723066751292e-01             1.067498096161575705e-01
5.450872501437557804e-02             5.844869403230416177e-02
1.210689705086457624e-01             9.749842027182369086e-02
1.016071035017627466e-01             8.918308353790876941e-02
1.712970636339413710e-01             6.036826659863869793e-02
1.225001603312454723e-01             9.385966233290270189e-02
1.446417794447250049e-01             1.043258238857698861e-01
1.899535489247432540e-01             1.293186113580289398e-01
1.483076174759719867e-01             9.121162380508029965e-02
1.137927917450681642e-01             7.608798200289998426e-02
1.497793323733537241e-01             7.514494768452301132e-02
1.340306758336526349e-01             1.117611122700016835e-01
1.044820969917124309e-01             1.213694436877888472e-01
1.117473516048153315e-01             7.387005365223142661e-02
1.306007635405473932e-01             7.223806058067121227e-02
1.052611931221033442e-01             9.935705668570724014e-02
1.294450257938061510e-01             7.625597114117636799e-02
1.618959713153045044e-01             8.218073303423333031e-02
1.344106252595450302e-01             9.763156023037998510e-02
1.725392630718462772e-01             9.293017272818152041e-02
1.650839396179432372e-01             7.579896646508210711e-02
1.665506729539272812e-01             1.297056475840122902e-01
1.133129199849005897e-01             1.061465053324207874e-01
1.143670944330543171e-01             7.566214941132715088e-02
9.642331414737780049e-02             7.524832722801635954e-02
4.050515554389239742e-02             6.948884164386713580e-02
1.502627064392398071e-01             7.926608034528097313e-02
1.812619854392339552e-02             1.003912322350070108e-02
1.804696639022077276e-01             9.269130673056737157e-02
1.627521453757156400e-01             1.055797625028757070e-01
1.044793480199922436e-01             1.065774714944942581e-01
7.766933458776615826e-03             7.350826549722580365e-03
1.279925786434183976e-01             8.854044832871239834e-02
1.598357424185978815e-01             1.381667624799828020e-01
1.260791193663479137e-01             7.083983921292925923e-02
2.102219034601463810e-01             8.966698376179486896e-02
1.479025290726785347e-01             8.747517494920191428e-02
1.746930229448283994e-02             4.889560962443538321e-03
1.423514952103252795e-01             8.271963426828453370e-02
1.045809258299842393e-01             6.276535245248994477e-02
7.558927621515942885e-02             8.653758696450043753e-02
